Episode,Reward
0,824.408574
1,1707.24548
2,1648.864048
3,1091.9923390000001
4,1122.725265
5,1698.6332
6,1775.9415760000002
7,1586.262949
8,1274.536891
9,1618.516854
10,963.832764
11,1253.658353
12,1580.011587
13,834.144192
14,1347.810099
15,1078.502644
16,1744.929784
17,1011.365577
18,1361.3524830000001
19,960.59346
20,960.5974960000001
21,960.597883
22,960.6010340000001
23,960.5984750000001
24,960.6065040000001
25,960.597476
26,960.592692
27,960.6045190000001
28,960.60143
29,960.5975020000001
30,960.5974940000001
31,960.6000080000001
32,960.5974940000001
33,960.595719
34,960.5971380000001
35,960.6041460000001
36,960.5961810000001
37,960.5966990000001
38,960.602603
39,3519.8180239999997
40,3519.8180239999997
41,3519.8180239999997
42,3519.8180239999997
43,3519.8180239999997
44,3519.8180239999997
45,3519.8180239999997
46,3519.8180239999997
47,3519.8180239999997
48,3519.8180239999997
49,3519.8180239999997
50,3519.8180239999997
51,3519.8180239999997
52,3519.8180239999997
53,3519.8180239999997
54,3519.8180239999997
55,3519.8180239999997
56,3519.8180239999997
57,3519.8180239999997
58,3519.8180239999997
59,3519.8180239999997
60,3519.8180239999997
61,3519.8180239999997
62,3519.8180239999997
63,3519.8180239999997
64,3519.8180239999997
65,3519.8180239999997
66,3519.8180239999997
67,3519.8180239999997
68,3519.8180239999997
69,3519.8180239999997
70,3519.8180239999997
71,3519.8180239999997
72,3519.8180239999997
73,3519.8180239999997
74,3519.8180239999997
75,3519.8180239999997
76,3519.8180239999997
77,3519.8180239999997
78,3519.8180239999997
79,3519.8180239999997
80,3519.8180239999997
81,3519.8180239999997
82,3519.8180239999997
83,3519.8180239999997
84,3519.8180239999997
85,3519.8180239999997
86,3519.8180239999997
87,3519.8180239999997
88,3519.8180239999997
89,3519.8180239999997
90,3519.8180239999997
91,3519.8180239999997
92,3519.8180239999997
93,3519.8180239999997
94,3519.8180239999997
95,3519.8180239999997
96,3519.8180239999997
97,3519.8180239999997
98,3519.8180239999997
99,3519.8180239999997
100,3519.8180239999997
101,3519.8180239999997
102,3519.8180239999997
103,3519.8180239999997
104,3519.8180239999997
105,3519.8180239999997
106,3519.8180239999997
107,3519.8180239999997
108,3519.8180239999997
109,3519.8180239999997
110,3519.8180239999997
111,3519.8180239999997
112,3519.8180239999997
113,3519.8180239999997
114,3519.8180239999997
115,3519.8180239999997
116,3519.8180239999997
117,3519.8180239999997
118,3519.8180239999997
119,3519.8180239999997
120,3519.8180239999997
121,3519.8180239999997
122,3519.8180239999997
123,3519.8180239999997
124,3519.8180239999997
125,3519.8180239999997
126,3519.8180239999997
127,3519.8180239999997
128,3519.8180239999997
129,3519.8180239999997
130,3519.8180239999997
131,3519.8180239999997
132,3519.8180239999997
133,3519.8180239999997
134,3519.8180239999997
135,3519.8180239999997
136,3519.8180239999997
137,3519.8180239999997
138,3519.8180239999997
139,3519.8180239999997
140,3519.8180239999997
141,3519.8180239999997
142,3519.8180239999997
143,3519.8180239999997
144,3519.8180239999997
145,3519.8180239999997
146,3519.8180239999997
147,3519.8180239999997
148,3519.8180239999997
149,3519.8180239999997
150,3519.8180239999997
151,3519.8180239999997
152,3519.8180239999997
153,3519.8180239999997
154,3519.8180239999997
155,3519.8180239999997
156,3519.8180239999997
157,3519.8180239999997
158,3519.8180239999997
159,3519.8180239999997
160,3519.8180239999997
161,3519.8180239999997
162,3519.8180239999997
163,3519.8180239999997
164,3519.8180239999997
165,3519.8180239999997
166,3519.8180239999997
167,3519.8180239999997
168,3519.8180239999997
169,3519.8180239999997
170,3519.8180239999997
171,3519.8180239999997
172,3519.8180239999997
173,3519.8180239999997
174,3519.8180239999997
175,3519.8180239999997
176,3519.8180239999997
177,3519.8180239999997
178,3519.8180239999997
179,3519.8180239999997
180,3519.8180239999997
181,3519.8180239999997
182,3519.8180239999997
183,3519.8180239999997
184,3519.8180239999997
185,3519.8180239999997
186,3519.8180239999997
187,3519.8180239999997
188,3519.8180239999997
189,3519.8180239999997
190,3519.8180239999997
191,3519.8180239999997
192,3519.8180239999997
193,3519.8180239999997
194,3519.8180239999997
195,3519.8180239999997
196,3519.8180239999997
197,3519.8180239999997
198,3519.8180239999997
199,3519.8180239999997
200,3519.8180239999997
201,3519.8180239999997
202,3519.8180239999997
